| table_name               | column_name                    | data_type                | is_nullable | column_default                                                                                                                                                                                                                                                          | udt_name    |
| driver_mileage_trips     | updated_at                     | timestamp with time zone | NO          | now()                                                                                                                                                                                                                                                                   | timestamptz |
| drivers                  | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| drivers                  | user_id                        | uuid                     | NO          | null                                                                                                                                                                                                                                                                    | uuid        |
| drivers                  | name                           | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| drivers                  | phone                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| drivers                  | email                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| drivers                  | license                        | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| drivers                  | license_expiry                 | date                     | YES         | null                                                                                                                                                                                                                                                                    | date        |
| drivers                  | address                        | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| drivers                  | city                           | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| drivers                  | state                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| drivers                  | zip                            | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| drivers                  | status                         | text                     | YES         | 'Active'::text                                                                                                                                                                                                                                                          | text        |
| drivers                  | notes                          | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| drivers                  | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| drivers                  | updated_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| drivers                  | license_number                 | character varying        | YES         | null                                                                                                                                                                                                                                                                    | varchar     |
| drivers                  | license_state                  | character varying        | YES         | null                                                                                                                                                                                                                                                                    | varchar     |
| drivers                  | medical_card_expiry            | date                     | YES         | null                                                                                                                                                                                                                                                                    | date        |
| drivers                  | position                       | character varying        | YES         | 'Driver'::character varying                                                                                                                                                                                                                                             | varchar     |
| drivers                  | hire_date                      | date                     | YES         | null                                                                                                                                                                                                                                                                    | date        |
| drivers                  | emergency_contact              | character varying        | YES         | null                                                                                                                                                                                                                                                                    | varchar     |
| drivers                  | emergency_phone                | character varying        | YES         | null                                                                                                                                                                                                                                                                    | varchar     |
| earnings                 | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| earnings                 | user_id                        | uuid                     | NO          | null                                                                                                                                                                                                                                                                    | uuid        |
| earnings                 | load_id                        | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| earnings                 | amount                         | numeric                  | NO          | null                                                                                                                                                                                                                                                                    | numeric     |
| earnings                 | date                           | date                     | NO          | null                                                                                                                                                                                                                                                                    | date        |
| earnings                 | source                         | text                     | NO          | 'Factoring'::text                                                                                                                                                                                                                                                       | text        |
| earnings                 | description                    | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| earnings                 | factoring_company              | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| earnings                 | created_at                     | timestamp with time zone | YES         | now()                                                                                                                                                                                                                                                                   | timestamptz |
| expense_categories       | id                             | uuid                     | NO          | uuid_generate_v4()                                                                                                                                                                                                                                                      | uuid        |
| expense_categories       | user_id                        | uuid                     | YES         | null                                                                                                                                                                                                                                                                    | uuid        |
| expense_categories       | name                           | text                     | NO          | null                                                                                                                                                                                                                                                                    | text        |
| expense_categories       | description                    | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
| expense_categories       | is_default                     | boolean                  | YES         | false                                                                                                                                                                                                                                                                   | bool        |
| expense_categories       | icon                           | text                     | YES         | null                                                                                                                                                                                                                                                                    | text        |
